Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,,,,,,,,,,,,,,,,,
District of Columbia,US,4/25/20 6:32,38.8974,-77.0268,3528,153,651,3375,11,499.8944384,16533,402,4.336734694,84000011,USA,2342.61756,11.39455782,,,,,,,,,,,,,,,,,
Florida,US,4/25/20 6:32,27.7663,-81.6868,30533,1046,,29487,12,143.8024141,319038,5009,3.425801592,84000012,USA,1502.585222,16.40520093,,,,,,,,,,,,,,,,,
Georgia,US,4/25/20 6:32,33.0406,-83.6431,22491,899,,21592,13,221.8180122,107520,4322,3.997154417,84000013,USA,1060.418508,19.21657552,,,,,,,,,,,,,,,,,
Grand Princess,US,4/25/20 6:32,,,103,3,0,100,99999,,,,2.912621359,84099999,USA,,,,,,,,,,,,,,,,,,,
Guam,US,4/25/20 6:32,13.4443,144.7937,141,5,126,136,66,85.85572585,1374,2,3.546099291,316,GUM,836.6366476,1.418439716,,,,,,,,,,,,,,,,,
Hawaii,US,4/25/20 6:32,21.0943,-157.4983,601,13,463,588,15,42.44991828,28040,67,2.163061564,84000015,USA,1980.525305,11.14808652,,,,,,,,,,,,,,,,,
Idaho,US,4/25/20 6:32,44.2405,-114.4788,1870,54,867,1816,16,116.1132247,19361,168,2.887700535,84000016,USA,1202.175478,8.983957219,,,,,,,,,,,,,,,,,
Illinois,US,4/25/20 6:32,40.3495,-88.9861,39658,1795,,37863,17,337.9275103,189632,4828,4.526199001,84000017,USA,1615.862364,12.17408846,,,,,,,,,,,,,,,,,
Indiana,US,4/25/20 6:32,39.8494,-86.2583,13681,741,,12940,18,209.0619276,75553,,5.41627074,84000018,USA,1154.539567,,,,,,,,,,,,,,,,,,
Iowa,US,4/25/20 6:32,42.0115,-93.2105,4445,107,1604,4338,19,169.6103312,31973,278,2.4071991,84000019,USA,1220.011501,6.254218223,,,,,,,,,,,,,,,,,
Kansas,US,4/25/20 6:32,38.5266,-96.7265,2959,118,,2841,20,121.3456863,23588,457,3.987833728,84000020,USA,967.3207332,15.44440689,,,,,,,,,,,,,,,,,
Kentucky,US,4/25/20 6:32,37.6681,-84.6701,3779,200,1341,3579,21,110.3904621,44962,1143,5.292405398,84000021,USA,1313.409885,30.24609685,,,,,,,,,,,,,,,,,
Louisiana,US,4/25/20 6:32,31.1695,-91.8678,26140,1660,14927,24480,22,568.598815,143716,1697,6.350420811,84000022,USA,3126.118872,6.491966335,,,,,,,,,,,,,,,,,
Maine,US,4/25/20 6:32,44.6939,-69.3819,965,47,499,918,23,82.1971949,17749,152,4.870466321,84000023,USA,1511.832137,15.75129534,,,,,,,,,,,,,,,,,
Maryland,US,4/25/20 6:32,39.0639,-76.8021,16616,798,1108,15818,24,279.5736737,84716,3618,4.802599904,84000024,USA,1425.395001,21.77419355,,,,,,,,,,,,,,,,,
Massachusetts,US,4/25/20 6:32,42.2302,-71.5301,50969,2556,,48413,25,742.5800274,215213,4752,5.014812926,84000025,USA,3135.49168,9.323314171,,,,,,,,,,,,,,,,,
Michigan,US,4/25/20 6:32,43.3266,-84.5361,36641,3085,3237,33556,26,459.8946765,136296,3022,8.419530035,84000026,USA,1710.701259,8.247591496,,,,,,,,,,,,,,,,,
Minnesota,US,4/25/20 6:32,45.6945,-93.9002,3185,221,1594,2964,27,64.38966482,53787,756,6.93877551,84000027,USA,1087.386782,23.73626374,,,,,,,,,,,,,,,,,
Mississippi,US,4/25/20 6:32,32.7416,-89.6787,5434,209,,5225,28,187.6895806,55670,970,3.846153846,84000028,USA,1922.833816,17.85057048,,,,,,,,,,,,,,,,,
Missouri,US,4/25/20 6:32,38.4561,-92.2884,6788,272,,6516,29,115.8469319,67017,877,4.007071302,84000029,USA,1143.740989,12.91985857,,,,,,,,,,,,,,,,,
Montana,US,4/25/20 6:32,46.9219,-110.4544,444,14,325,430,30,51.27097751,12127,59,3.153153153,84000030,USA,1400.367442,13.28828829,,,,,,,,,,,,,,,,,
Nebraska,US,4/25/20 6:32,41.1254,-98.2681,2424,50,,2374,31,158.9224742,19973,,2.062706271,84000031,USA,1309.47136,,,,,,,,,,,,,,,,,,
Nevada,US,4/25/20 6:32,38.3135,-117.0554,4398,197,,4201,32,145.7885893,36192,,4.479308777,84000032,USA,1199.722743,,,,,,,,,,,,,,,,,,
New Hampshire,US,4/25/20 6:32,43.4525,-71.5639,1720,53,578,1667,33,129.5036397,17727,224,3.081395349,84000033,USA,1334.715709,13.02325581,,,,,,,,,,,,,,,,,
New Jersey,US,4/25/20 6:32,40.2989,-74.521,102196,5683,,96513,34,1150.5721,205962,6847,5.560883009,84000034,USA,2318.820021,6.699870836,,,,,,,,,,,,,,,,,
New Mexico,US,4/25/20 6:32,34.8405,-106.2485,2521,84,614,2437,35,151.1814159,51510,412,3.332011107,84000035,USA,3088.994341,16.34272114,,,,,,,,,,,,,,,,,
New York,US,4/25/20 6:32,42.1657,-74.9481,271590,21411,23887,250179,36,1610.756167,730656,57103,7.883574506,84000036,USA,4333.402032,21.02544276,,,,,,,,,,,,,,,,,
North Carolina,US,4/25/20 6:32,35.6301,-79.8064,8290,294,,7996,37,83.58645375,100584,477,3.546441496,84000037,USA,1014.168862,5.753920386,,,,,,,,,,,,,,,,,
North Dakota,US,4/25/20 6:32,47.5289,-99.784,748,15,285,733,38,123.3472621,17449,67,2.005347594,84000038,USA,2877.388204,8.957219251,,,,,,,,,,,,,,,,,
Northern Mariana Islands,US,4/25/20 6:32,15.0979,145.6739,14,2,11,12,69,25.38807486,65,,14.28571429,580,MNP,117.8732047,,,,,,,,,,,,,,,,,,
Ohio,US,4/25/20 6:32,40.3888,-82.7649,15169,690,,14479,39,135.7543409,107109,3053,4.548750742,84000039,USA,958.5675854,20.12657393,,,,,,,,,,,,,,,,,
